https://www.bpmco.com/property/phoenix-apartments-boulder-2915-e-college/,Unit #112 (2915),1,1,Location:2915 E. College Ave.,Neighborhood:East of Campus,Pets:Negotiable,Zoning:2 or 4,1445
https://www.bpmco.com/property/1817-canyon-blvd/,House (1817),3,1,Location:1817 Canyon Blvd.,Neighborhood:North of Campus,Pets:Negotiable,Zoning:4,3120
https://www.bpmco.com/property/2905-e-college-ave/,Unit #101 (2905),1,1,Location:2905 E. College Ave.,Neighborhood:East of Campus,Pets:Negotiable,Zoning:2-4,1625
https://www.bpmco.com/property/1611-arapahoe-ave/,Main (1611),6,3,Location:1611 Arapahoe Ave.,Neighborhood:North of Campus,Pets:Negotiable,Zoning:6,6210
https://www.bpmco.com/property/733-marine-street/,Unit B,1,1,Location:733 Marine Street,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:4,1875
https://www.bpmco.com/property/1818-arapahoe-ave/,Unit #1A (1818),1,1,Location:1818 Arapahoe Ave.,Neighborhood:North of Campus,Pets:Negotiable,Zoning:2-4,1675
https://www.bpmco.com/property/1742-walnut-st/,Unit #3,1,1,Location:1742 Walnut St.,Neighborhood:North of Campus,Pets:No Pets,Zoning:4,1625
https://www.bpmco.com/property/741-19th-st/,House (741 19th St.),4,3,Location:741 19th St.,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:4,5440
https://www.bpmco.com/property/735-33rd-st/,House (735),3,2,Location:735 33rd St,Neighborhood:East of Campus,Pets:Negotiable,Zoning:3,3295
https://www.bpmco.com/property/735-marine-street/,Unit A,2,1,Location:735 Marine Street,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:4,2520
https://www.bpmco.com/property/737-marine-street/,Unit A,2,1,Location:737 Marine Street,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:4,2520
https://www.bpmco.com/property/730-30th-st/,Unit #A,2,1,Location:730 30th St.,Neighborhood:East of Campus,Pets:Negotiable,Zoning:4,2010
https://www.bpmco.com/property/739-marine-street/,Unit A,2,1,Location:739 Marine Street,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:4,2520
https://www.bpmco.com/property/743-19th-st/,House (743 19th St.),3,1,Location:743 19th St.,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:4,3900
https://www.bpmco.com/property/2895-e-college-ave/,Unit #07,1,1,Location:2895 E. College Ave.,Neighborhood:East of Campus,Pets:Negotiable,Zoning:2,1260
https://www.bpmco.com/property/746-19th-street/,746 19th,9,5,Location:746 19th St,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:9,12545
https://www.bpmco.com/property/802-university-ave/,Unit #B (Lower),2,1,Location:802 University Ave.,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:3,2530
https://www.bpmco.com/property/803-marine-st/,Unit #1,2,1,Location:803 Marine St,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:4,2590
https://www.bpmco.com/property/849-17th-st/,House (849),4,3,Location:849 17th St.,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:4,5380
https://www.bpmco.com/property/821-lincoln-place/,General,6,4,Location:821 Lincoln Place,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:6,8250
https://www.bpmco.com/property/spanish-towers-condo-boulder-co-805-29th-st/,#252,2,1,Location:805 29th St.,Neighborhood:East of Campus,Pets:No Pets,Zoning:4,2190
https://www.bpmco.com/property/gregory-creek-apartments-735-arapahoe-ave/,Unit #102,2,5,Location:735 Arapahoe Ave.,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:4,1850
https://www.bpmco.com/property/835-18th-st/,835 18th St.,4,2,Location:835 18th St.,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:4,4980
https://www.bpmco.com/property/815-32nd-st/,House (815),4,2,Location:815 32nd St.,Neighborhood:East of Campus,Pets:No Pets,Zoning:3,3760
https://www.bpmco.com/property/858-18th-st/,Main (858),4,3,Location:858 18th St.,Neighborhood:West of Campus (The Hill),Pets:Pets,Zoning:MR-E,6625
https://www.bpmco.com/property/825-lee-ave/,825 Lee Ave.,3,1,Location:825 Lee Ave.,Neighborhood:Outside Boulder,Pets:Pets,Zoning:NA,1800
https://www.bpmco.com/property/860-17th-st/,Main (860),4,2,Location:860 17th St.,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:4,4945
https://www.bpmco.com/property/879-19th-st/,House (879),3,1,Location:879 19th St.,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:3,3895
https://www.bpmco.com/property/860-18th-st/,Main (860),4,3,Location:860 18th St.,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:4,4890
https://www.bpmco.com/property/862-17th-st/,Main (862),4,2,Location:862 17th St.,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:4,4735
https://www.bpmco.com/property/880-19th-st/,880 19th St.,2,1,Location:880 19th St.,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:4,2375
https://www.bpmco.com/property/810-20th-st/,Unit #101,2,5,Location:810 20th St.,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:4,2290
https://www.bpmco.com/property/880-33rd-st/,House - (880),3,1,Location:880 33rd Street,Neighborhood:East of Campus,Pets:No Pets,Zoning:3,3175
https://www.bpmco.com/property/881-19th-st/,881 (Main),7,3,Location:881 19th St.,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:7,9100
https://www.bpmco.com/property/896-17th/,896 17th,4,2,Location:896 17th,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:4,5315
https://www.bpmco.com/property/850-19th-st/,House (850),3,1,Location:850 19th St.,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:4,4325
https://www.bpmco.com/property/875-20th-st/,Unit #1,1,1,Location:875 20th St.,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:2-4,1390
https://www.bpmco.com/property/900-morgan-drive/,House (900),3,1,Location:900 Morgan Drive,Neighborhood:East of Campus,Pets:Negotiable,Zoning:3,2790
https://www.bpmco.com/property/811-marine-st/,Unit #1,2,5,Location:811 Marine St.,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:4,2830
https://www.bpmco.com/property/911-broadway-st/,911 Broadway St.,1,1,Location:911 Broadway St.,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:2,1595
https://www.bpmco.com/property/915-university-ave/,Main (915),7,3,Location:915 University Ave.,Neighborhood:West of Campus (The Hill),Pets:No Pets,Zoning:8,4195
